#,Model,NoUpd,Tag,id/name,groups_id,implied_ids,name,plan_id,mail_template_id,sequence,legend_blocked,legend_done,fold,date_start,date,color,user_id,type_ids,partner_id,privacy_visibility,favorite_user_ids,tag_ids,stage_id,analytic_account_id,res_model,res_id,res_model_id,activity_type_id,date_deadline,summary,create_uid,description,is_reached,deadline,reached_date,project_id,planned_hours,user_ids,create_date,milestone_id,planned_hours,priority,model,message_type,subtype_id,author_id,field,field_desc,old_value_char,new_value_char,field_type,old_value_integer,new_value_integer,mail_message_id,kanban_state,body,parent_id,recurrence_left,repeat_unit,repeat_on_month,repeat_type,repeat_number,repeat_day,repeat_weekday,next_recurrence_date,mon,tue,wed,thu,fri,recurring_task,recurrence_id,depend_on_ids,active,active,project_id,access_token,rated_partner_id,rating_template_id,user_id,progress,status
0,,,,,eval,eval,,ref,ref,,,,eval,eval,eval,,ref,eval,ref,,eval,eval,ref,ref,,ref,ref,ref,eval,,ref,,eval,eval,eval,ref,,eval,eval,ref,eval,,,,ref,ref,eval,,,,,,,ref,,,ref,,,,,,,,eval,eval,eval,eval,eval,eval,eval,ref,eval,eval,,,,ref,ref,eval,eval,
1,res.users,1,record,base.user_demo,[Command.link(ref('group_project_user'))],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,res.groups,1,record,base.group_user,,[Command.link(ref('group_project_milestone'))],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,res.groups,1,record,base.group_portal,,[Command.link(ref('group_project_milestone'))],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,project.tags,1,record,project_tags_00,,,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,project.tags,1,record,project_tags_01,,,New Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,project.tags,1,record,project_tags_02,,,Experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,project.tags,1,record,project_tags_03,,,Usability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,project.tags,1,record,project_tags_04,,,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,project.tags,1,record,project_tags_05,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,account.analytic.account,1,record,analytic_office_design,,,Office Design,analytic.analytic_plan_projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
